,Kode MK,MK,CPL,Kode BK,BK,Kode CPMK,CPMK,Kode SubCPMK,SubCPMK,MetodePembelajaran,Bentuk Pembelajaran,Bentuk Penilaian,Kriteria Penilaian,Materi Pembelajaran,SubCPMK Lama,Materi Pembelajaran Lama,Deskripsi
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",BK18,Intelligent Systems,CPMK706,"Mampu merancang, mengimplementasikan, dan mengevaluasi sistem cerdas dengan menerapkan algoritma kecerdasan artifisial dan pembelajaran mesin untuk pemodelan, analisis data, dan pengambilan keputusan",SCPMK706-04301,Mahasiswa mampu merancang dan mengimplementasikan metode deteksi objek sesuai dengan kebutuhan permasalahan yang dihadapi,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Ceramah,
Praktikum pipeline deteksi objek
Diskusi desain sistem","Unjuk Kerja (Presentasi), Observasi (Praktik/ Tugas)","Ketepatan menjelaskan alur sistem secara runtut, implementasi pipeline metode berjalan dengan benar, analisis hasil dekteksi","Dasar-dasar Deteksi Objek
- Konsep dan prinsip deteksi objek
- Aspek pemindaian pada deteksi objek

Tahapan Perancangan Sistem Deteksi Objek
- Perencanaan dan akuisisi data (pengambilan citra)
Preprocessing
- Ekstraksi fitur
- Klasifikasi objek",,,
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",BK17,Graphics and Visualization,CPMK1004,"Mampu menganalisis permasalahan kompleks berbasis data dan visual untuk merancang serta menerapkan teknik visualisasi dan representasi grafis yang efektif dalam mendukung pemahaman, analisis, dan pengambilan keputusan.",SCPMK1004-04301,Mahasiswa mampu menganalisis karakteristik visual citra serta menerapkan teknik pengolahan citra dasar untuk meningkatkan kualitas dan representasi informasi visual.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Praktikum, Diskusi perbandingan hasil visual, Latihan analisis kualitas citra","Quiz, Observasi (Praktik/ Tugas), Tes Tulis (UTS)","Ketepanan mengidentifikasi metode perbaikan citra sesuai dengan kebutuhan permasalahan, Dampak teknik yang dihgunakan terhadap kualitas citra dijelaskan dengan tepat, Alasan pemilihan teknik disampaikan secara logis","Operasi Dasar Pengolahan Citra
- Transformasi titik: brightness, contrast, inverse, logarithmic, grayscale
- Operasi aritmatika dan logika pada citra
- Gamma correction
- Image depth dan PSNR
- Denoising dan masking

Analisis Intensitas dan Histogram Citra
- Konsep histogram citra
- Histogram equalization
- Dithering",,,
,,,,BK18,Intelligent Systems,CPMK1005,"Mampu mengembangkan dan mengevaluasi solusi sistem cerdas berdasarkan aspek kinerja, keandalan, interpretabilitas, dan kesesuaian solusi terhadap kebutuhan domain aplikasi.",SCPMK1005-04301,"Mahasiswa mampu menerapkan metode pemrosesan citra lanjutan untuk melakukan analisis, segmentasi, dan ekstraksi informasi dari citra digital
",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Praktikum, Diskusi perbandingan hasil visual, Latihan analisis kualitas citra","Quiz, Observasi (Praktik/ Tugas)","Karakteristik dan pola visual citra dianalisis dengan tepat, Objek pada citra tersegmentasi dengan baik dan konsisten, Fitur yang diekstraksi relevan dengan tujuan analisis","Pemrosesan Spasial dan Ekstraksi Fitur Bentuk
- Filter spasial (low pass, high pass, edge, line, point detection)
- Ekstraksi fitur bentuk (dimensi, centroid, circularity, dsb.)

Segmentasi Citra dengan Thresholding
- Global thresholding
- Optimal thresholding (Otsu’s method)
- Local thresholding (moving averages)

Operasi Morfologi pada Citra
- Erosi, dilasi, opening, closing
- Transformasi top-hat dan bottom-hat
- Skeleton dan thickening
- Implementasi binary image untuk operasi morfologi",,,
"Yuri Ariyanto, S.Kom., M.Kom.
 
 	
Ade Ismail, S.Kom., M.Ti",MK044,Administrasi dan Keamanan Jaringan,CPL05,BK02,Security Policy and Management,CPMK501,Mampu merancang dan menerapkan kebijakan serta prosedur manajemen keamanan untuk infrastruktur jaringan dan layanan cloud dengan memilih pendekatan yang sesuai kebutuhan operasional.,,Mampu menyusun kebijakan manajemen akses dan prosedur keamanan operasional untuk infrastruktur dan cloud.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Kuliah dan Mandiri (V-Class).,"Partisipasi, Observasi (Praktik/ Tugas)",Ketepatan menjelaskan prosedur perubahan dan implementasi Least Privilege.,"Manajemen Akun, RBAC, dan Prosedur Change Management.","Sub-CPMK 05.3.1
Mahasiswa mampu Menganalisis dan mengelola sumber daya TI (CPU, memori, penyimpanan) dalam konteks operasional jaringan.
Sub-CPMK 05.4.1
Mahasiswa mampu Menyusun strategi perlindungan yang efektif untuk menjaga kerahasiaan.","1. Pengenalan Infrastruktur & Keamanan Jaringan
2. Identifikasi Ancaman & Kerentanan
3. Desain Topologi Jaringan Aman
4. Simulasi Desain Keamanan Jaringan
5. Konsep Dasar & Pemilihan Gateway Internet
6. Instalasi Dasar Gateway Internet
7. Konfigurasi NAT & Firewall pada Gateway
8. Ujian Tengah Semester (UTS)
9. Administrasi Sistem Jaringan Dasar
10. Manajemen Pengguna & Kontrol Akses
11. Monitoring Jaringan & Dasar Logging (SIEM)
12. Simulasi Administrasi & Troubleshooting Jaringan
13. Identifikasi Bottleneck Kinerja Jaringan
14. Metode Perbaikan & Pengaturan Kinerja Jaringan
15. Simulasi Optimasi Kinerja & Integrasi SIEM
16. Refleksi Pembelajaran & Persiapan Portofolio Kompetensi
17. Ujian Akhir Semester (UAS)
METODE PEMBELAJARAN:
1.Ceramah/Kuliah Pakar
2. Problem Based Learning/FGD (Focus Group Discussion
3. Self-Learning (V-Class)
4. Diskusi Kelompok
5. Metode Case (Case Study)
","Mata kuliah ini membekali mahasiswa dengan pengetahuan dan keterampilan yang komprehensif untuk menjadi administrator jaringan yang kompeten dalam mengelola keamanan jaringan komputer di dalam organisasi. Materi meliputi disain sistem keamanan, instalasi dan konfigurasi gateway internet, administrasi sistem jaringan, serta optimasi kinerja jaringan, sesuai dengan Standar Kompetensi Kerja Nasional Indonesia (SKKNI) bidang Jaringan Komputer dan Sistem Administrasi. Mata kuliah ini secara spesifik berkontribusi pada kemampuan perencanaan infrastruktur TI, arsitektur jaringan aman, analisis risiko, serta pengelolaan dan pemeliharaan kebijakan keamanan TI."
,,,CPL05,BK05,Security Issues and Principles,CPMK502,"Mampu mengidentifikasi, menganalisis, dan menerapkan prinsip serta teknik keamanan untuk menangani isu-isu kerentanan pada sistem operasi, jaringan, dan lingkungan cloud.",,Mampu mengidentifikasi serta menganalisis kerentanan sistem dan ancaman siber pada lingkungan jaringan dan cloud.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Kuliah dan Diskusi.,"Quiz, Observasi (Praktik/ Tugas)",Ketepatan mengidentifikasi jenis ancaman dan menganalisis dampak bisnis dari kerentanan.,"Jenis-jenis Ancaman Siber, Kerentanan Software, dan Dampak Kerentanan.",,,
,,,CPL05,BK08,Computer Networks,CPMK504,"Mampu membangun dan mengelola infrastruktur jaringan komputer dengan memilih arsitektur, protokol, dan teknik konfigurasi yang sesuai kebutuhan sistem.",,"Mampu membangun infrastruktur jaringan aman melalui desain arsitektur, segmentasi, dan konfigurasi gateway.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Praktikum/Simulasi (Lab) dan Proyek Mini.,Unjuk Kerja (Presentasi),"Ketepatan merancang segmentasi jaringan (VLAN), DMZ, dan memetakan ancaman pada topologi.","Desain Topologi Aman, Segmentasi Jaringan, dan Konfigurasi Dasar Gateway.",,,
,,,CPL05,BK09,Security Technology and Implementation,CPMK505,Mampu menerapkan teknologi dan mekanisme keamanan jaringan secara tepat guna dalam melindungi infrastruktur digital dari ancaman aktual.,,Menerapkan mekanisme teknologi keamanan (firewall & pengamanan akses) untuk melindungi infrastruktur dari ancaman aktual.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Kuliah dan Praktikum.,Observasi (Praktik/ Tugas),"Kemampuan mengonfigurasi NAT, Firewall, serta mengamankan akses perangkat (SSH/MFA).","Konfigurasi NAT & Firewall, Pengamanan Akses (SSH/MFA), dan AAA.",,,
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",BK08,Computer Networks,CPMK1002,"Mampu merancang, menerapkan, dan mengevaluasi mekanisme keamanan jaringan untuk melindungi data, layanan, dan sumber daya jaringan dengan mempertimbangkan aspek teknis, operasional, dan kebijakan organisasi.",,Mampu merancang dan mengevaluasi mekanisme perlindungan data serta sumber daya menggunakan monitoring dan logging.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Praktikum dan Tugas Proyek Mini.,Observasi (Praktik/ Tugas),"Ketepatan penggunaan alat monitoring, pemahaman fungsi SIEM, dan rencana Backup/Recovery.","Monitoring & Logging (SIEM), serta Backup & Recovery Plan.",,,
,,,,BK09,Security Technology and Implementation,CPMK1003,"Mampu menganalisis permasalahan kompleks pada infrastruktur dan layanan jaringan komputer untuk merancang, mengonfigurasi, dan mengelola solusi jaringan on-premise dan cloud yang andal, aman, dan scalable sesuai kebutuhan organisasi.",,Mampu menganalisis permasalahan kompleks dan mengelola solusi optimasi jaringan yang aman dan scalable.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Kuliah dan Simulasi Optimasi.,Tes Lisan (Tugas Kelompok),Ketepatan mengidentifikasi bottleneck dan melakukan pengaturan kinerja (QoS/Traffic Shaping).,"Identifikasi Bottleneck, Benchmarking, dan Pengaturan Kinerja Jaringan (QoS).",,,
"Retno Damayanti, S.Pd., M.T.
Ir. Deddy Kusbianto Purwokoaji, M.MKom",MK045,Komunikasi Dan Etika Profesi,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK01,"Social Issues and Professional Practice
",CPMK101,"Mampu menunjukkan profesionalisme melalui penerapan etika profesi TI, keselamatan kerja, kewirausahaan bertanggung jawab, rekayasa perangkat lunak ramah lingkungan, dan disiplin dalam penelitian maupun penerapan aplikasi teknologi",CPMK101-00101,Mahasiswa mampu menerapkan etika profesi TI dan prinsip keselamatan kerja dalam praktik profesional di bidang teknologi informasi.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, diskusi studi kasus etika profesi","Tugas, Tes Tulis (UTS)",Ketepatan penerapan kode etik profesi TI dan prinsip keselamatan kerja pada studi kasus,"Kode etik profesi TI, keselamatan kerja, dan kewirausahaan bertanggung jawab di bidang teknologi informasi",,,
,,,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK30,Pengembangan Diri,CPMK102,"Mampu menginternalisasi nilai ketakwaan kepada Tuhan YME, Pancasila, kewarganegaraan, dan menunjukkan pembelajaran sepanjang hayat melalui disiplin diri, tanggung jawab sosial, dan adaptasi karir profesional",CPMK102-00101,Mahasiswa mampu menunjukkan disiplin diri dan tanggung jawab sosial sebagai wujud pembelajaran sepanjang hayat dalam lingkungan profesi TI.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, diskusi kelompok","Tugas, Partisipasi",Konsistensi disiplin diri dan tanggung jawab sosial dalam interaksi profesional,"Etika profesional, tanggung jawab sosial, dan pengembangan diri berkelanjutan di lingkungan kerja TI",,,
,,,,,,CPMK313,"Mahasiswa mampu berkomunikasi secara efektif dalam lingkungan kerja profesional TI dengan menerapkan prinsip komunikasi yang baik, menyusun dokumen profesional yang jelas dan etis, serta melakukan presentasi dengan memperhatikan aspek verbal dan nonverbal.",CPMK313-00101,Mahasiswa mampu menyusun dokumen profesional yang jelas dan etis serta melakukan presentasi dengan memperhatikan aspek verbal dan nonverbal.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Praktikum penyusunan dokumen, presentasi","Tugas, Unjuk Kerja (Presentasi)","Kejelasan dan etika dokumen profesional, ketepatan komunikasi verbal dan nonverbal dalam presentasi","Prinsip komunikasi profesional, penyusunan dokumen kerja, dan teknik presentasi verbal/nonverbal",,,
,,,,,,CPMK314,Mahasiswa mampu bekerja sama dalam tim dengan menerapkan etika dan kode etik profesi TI serta mengelola konflik melalui komunikasi yang asertif dan profesional.,CPMK314-00101,Mahasiswa mampu bekerja sama dalam tim dan mengelola konflik melalui komunikasi yang asertif dan profesional sesuai kode etik profesi TI.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Kerja kelompok, simulasi manajemen konflik","Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi)",Efektivitas kerja sama tim dan ketepatan penerapan komunikasi asertif dalam manajemen konflik,"Kerja sama tim, kode etik profesi TI, dan teknik manajemen konflik melalui komunikasi asertif",,,
"Adevian Fairuz Pratama,S.S.T.,M.Eng
 
 	
Ahmadi Yuli Ananta, S.T, M.M.",MK046,Pengembangan Karir,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK30,Pengembangan Diri,CPMK102,"Mampu menginternalisasi nilai ketakwaan kepada Tuhan YME, Pancasila, kewarganegaraan, dan menunjukkan pembelajaran sepanjang hayat melalui disiplin diri, tanggung jawab sosial, dan adaptasi karir profesional",SUBCPMK102-04601,"- Menunjukkan internalisasi nilai ketakwaan kepada Tuhan YME, Pancasila, dan kewarganegaraan melalui sikap disiplin, etis, bertanggung jawab, dan menghargai keberagaman dalam proses pembelajaran.
- Menunjukkan sikap pembelajaran sepanjang hayat dan kesiapan adaptasi karir profesional melalui pengembangan diri berkelanjutan, tanggung jawab sosial, dan kemampuan menyesuaikan diri dengan perubahan lingkungan kerja.",Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Proyek kelompok (misalnya proyek sosial, edukasi masyarakat, atau studi etika profesi) disertai refleksi individu terkait nilai ketakwaan, etika, dan profesionalisme.",Tes Lisan (Tugas Kelompok),"Penilaian proses dan hasil proyek kelompok (observasi sikap, kontribusi, dan tanggung jawab) serta refleksi individu untuk menilai internalisasi nilai, pembelajaran sepanjang hayat, dan sikap profesional.","- Nilai etika, profesionalisme, dan ketakwaan dalam dunia kerja
- Disiplin diri, kerja sama tim, dan tanggung jawab sosial
- Pembelajaran sepanjang hayat dan kesiapan adaptasi karir profesional",,,
,,,,,,CPMK315,"Mahasiswa mampu melakukan self-assessment untuk mengidentifikasi potensi diri dan tujuan karir, menyusun rencana pengembangan karir jangka pendek dan panjang secara terukur, serta membangun personal branding melalui CV, portofolio, dan media profesional seperti LinkedIn.",SUBCPMK315-04602,"- Melakukan self-assessment secara sistematis untuk mengidentifikasi potensi diri, minat, kompetensi, dan tujuan karir mahasiswa.
- Menyusun rencana pengembangan karir jangka pendek dan jangka panjang secara terukur serta mengembangkan personal branding profesional melalui penyusunan CV, portofolio, dan profil media profesional (misalnya LinkedIn).",Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),"Career Development Project: menyusun dokumen lengkap pengembangan karir yang terdiri dari: hasil self-assessment, rencana karir jangka pendek & panjang, CV profesional, portofolio, profil LinkedIn aktif","Observasi (Praktik/ Tugas), Quiz, Tes Tulis (UTS), Tes Tulis (UAS)","Ketepatan dan kedalaman self-assessment, kejelasan serta keterukuran rencana karir jangka pendek dan panjang, kualitas dan profesionalisme CV, kelengkapan serta relevansi portofolio, serta konsistensi dan keaktifan profil LinkedIn sebagai personal branding profesional.","- Konsep dan teknik self-assessment karir (minat, bakat, kompetensi, nilai, dan tujuan karir)
- Penyusunan rencana pengembangan karir jangka pendek dan jangka panjang yang terukur dan realistis
- Personal branding profesional: penyusunan CV, portofolio, dan optimalisasi profil LinkedIn",,,
,,,,,,CPMK316,Mahasiswa mampu berkomunikasi efektif dalam wawancara kerja dan networking serta mempresentasikan diri dan pencapaian secara profesional dalam berbagai konteks karir.,SUBCPMK316-04603,"- Menerapkan keterampilan komunikasi efektif dalam konteks wawancara kerja dan networking, termasuk kemampuan menyampaikan ide, menjawab pertanyaan, dan membangun relasi profesional.
- Mempresentasikan diri dan pencapaian secara profesional dengan bahasa verbal dan nonverbal yang tepat sesuai dengan berbagai konteks karir.",Bermain Peran dan Simulasi (Role-Play And Simulation),"Simulasi (role play) wawancara kerja dan networking, didukung presentasi dan penilaian sejawat.","Unjuk Kerja (Presentasi), Quiz, Observasi (Praktik/ Tugas), Tes Tulis (UTS), Tes Tulis (UAS)","Kejelasan dan ketepatan komunikasi verbal, kesesuaian bahasa nonverbal dan etika profesional, kemampuan menjawab pertanyaan dan membangun relasi saat wawancara dan networking, kualitas presentasi diri dan pencapaian, serta hasil penilaian sejawat terhadap sikap dan interaksi profesional.","Prinsip komunikasi profesional dalam wawancara kerja dan networking
Teknik wawancara kerja efektif: menyampaikan ide, menjawab pertanyaan, dan membangun relasi
Presentasi diri dan pencapaian profesional: komunikasi verbal, nonverbal, dan etika karir",,,
"Dimas Wahyu Wibowo.S.T,M.T",MK047,Pemrograman Berbasis Framework,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK19,Platform-based Development,CPMK603,"Mampu mengimplementasikan dan melakukan deployment aplikasi perangkat lunak pada platform web, mobile, atau framework secara fungsional.",SubCMPK603-00104,"- Mahasiswa mampu melakukan konfigurasi environment pengembangan (IDE, SDK, dan Framework) serta memilih arsitektur yang sesuai dengan platform target (Web atau Mobile). - Mahasiswa mampu merancang skema basis data dan -  integrasi API yang mendukung fungsionalitas aplikasi.",Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),Mahasiswa diberikan proyek kecil yang berkelanjutan. Mereka harus merancang ERD (Entity Relationship Diagram) berdasarkan kasus tersebut dan diimplementasi dalam bentuk web,"Unjuk Kerja (Presentasi), Observasi (Praktik/ Tugas)","Analisis Kebutuhan: Kelengkapan dokumen SRS dalam mencakup seluruh kebutuhan fungsional dan non-fungsional stakeholder.

Kualitas Arsitektur: Ketepatan desain sistem (UML/ERD) dan penerapan pola desain yang menjamin skalabilitas.

Fungsionalitas: Persentase fitur yang berhasil berjalan saat pengujian.

Standar Kode: Penerapan Clean Code, konsistensi konvensi penamaan","Materi pembelajaran ini mengintegrasikan seluruh siklus hidup pengembangan perangkat lunak yang dimulai dari analisis kebutuhan melalui penyusunan dokumen SRS fungsional dan non-fungsional, dilanjutkan dengan perancangan arsitektur sistem menggunakan UML dan ERD yang menjamin skalabilitas. Mahasiswa juga dibekali teknik pengujian fungsional berbasis acceptance criteria untuk menjamin kualitas fitur, serta penerapan prinsip Clean Code dan standarisasi penamaan guna menciptakan kode yang modular, konsisten, dan mudah dipelihara di lingkungan profesional.","Menguasai konsep matematika terapan, pengetahuan dasar TIK (Algoritma, Pemrograman, Basis Data, Jaringan Komputer, dll), sains rekayasa, dan prinsip rekayasa dalam bidang TIK","Mata Kuliah Pemrograman Berbasis Framework adalah sebuah mata kuliah yang diharapkan dapat memberikan pengetahuan dan keterampilan pembuatan aplikasi web menggunakan framework ReactJS, firebase, dan backend Laravel.","1.        Pengenalan  Modern Javascript
2.        Memahami Pembuatan Frontend menggunakan Framework Javascript ReactJS
3.        Memahami  pembuatan Backend mengunakan Framework Laravel
4.        Memahami  pembuatan Sistem Informasi Manajemen menggunakan frontend ReactJS dan backend Laravel
"
"Muhammad Unggul Pamenang, S.St., M.T. 
Bagas Satya Dian Nugraha, ST., MT.",MK048,Proyek Teknologi Terintegrasi,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",,(BK03) Project Management,CPMK201,Merancang dan mendokumentasikan rencana manajemen proyek pengembangan aplikasi multi-platform dengan menerapkan metodologi pengembangan perangkat lunak yang tepat,,,,,,,,,,
,,,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",,Software Design,CPMK205,"Menerapkan prinsip dan pola desain perangkat lunak untuk membuat blueprint arsitektural dan komponen solusi aplikasi multi-platform yang modular, dapat dipelihara (maintainable), dan dapat diperluas (scalable)",,,,,,,,,,
,,,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",,Systems Analysis & Design,CPMK211,"Menerapkan metodologi analisis dan desain sistem secara terstruktur untuk mentransformasi kebutuhan stakeholder menjadi spesifikasi teknis yang komprehensif bagi pengembangan aplikasi multi-platform, dengan menghasilkan artefak desain yang mencakup aspek fungsional, non-fungsional, dan arsitektural yang dapat diimplementasikan",,,,,,,,,,
,,,,,,CPMK317,"Mahasiswa mampu memimpin dan mengelola tim dalam proyek teknologi terintegrasi yang kompleks dengan menggabungkan berbagai teknologi untuk menyelesaikan permasalahan nyata serta mengelola konflik, mengambil keputusan, dan memfasilitasi kolaborasi tim multidisiplin.",,,,,,,,,,
,,,,,,CPMK318,Mahasiswa mampu mempresentasikan solusi teknologi terintegrasi kepada client dan stakeholder serta mendokumentasikan dan mengomunikasikan proses dan hasil proyek secara komprehensif.,,,,,,,,,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK10,Software Design,CPMK602,Mampu merancang arsitektur dan komponen perangkat lunak secara sistematis menggunakan pola desain yang sesuai dengan kebutuhan stakeholder,,,,,,,,,,
,,,"(CPL08)
Mampu mengelola proyek teknologi informasi secara profesional dengan mengoptimalkan sumber daya yang tersedia


","BK03
BK26","Project Management
System Analysis & Design",CPMK801,"Mampu menyusun dan mempresentasikan rencana proyek teknologi informasi yang komprehensif, mencakup estimasi, penjadwalan, alokasi sumber daya, dan manajemen risiko untuk diimplementasikan dalam sebuah proyek.",,,,,,,,,,
,,,,"BK10
BK22
BK24
BK25
BK28
BK29","Project Management
System Analysis & Design",CPMK802,"Mampu mengelola proses rekayasa perangkat lunak dan desain antarmuka (UI/UX) dalam siklus hidup proyek, termasuk penerapan metodologi pengembangan dan prinsip penjaminan mutu (SQA) untuk menghasilkan produk yang berkualitas dan berpusat pada pengguna.",,,,,,,,,,
,,,"(CPL08)
Mampu mengelola proyek teknologi informasi secara profesional dengan mengoptimalkan sumber daya yang tersedia


","BK03
BK26","Project Management
System Analysis & Design",CPMK803,"Mampu melaksanakan, memonitor, dan mengendalikan jalannya proyek menggunakan alat bantu (tools) manajemen, serta mengelola dinamika tim untuk mencapai tujuan proyek secara efisien.",,,,,,,,,,
,,,"(CPL08)
Mampu mengelola proyek teknologi informasi secara profesional dengan mengoptimalkan sumber daya yang tersedia


","BK03
BK30","Project Management
Pengembangan Diri",CPMK804,"Mampu mendemonstrasikan pengelolaan proyek secara utuh dalam konteks proyek penelitian mandiri atau lingkungan kerja industri, dengan menerapkan seluruh prinsip manajemen, rekayasa, dan optimalisasi sumber daya.",,,,,,,,,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK26,Systems Analysis & Design,CPMK607,Mampu menganalisis kebutuhan organisasi untuk merancang serta mengimplementasikan solusi sistem informasi terintegrasi yang kompleks.,,,,,,,,,,
"Agung Nugroho Pramudhita, S.T., M.T. 
Usman Nurhasan, S.Kom., MT",MK049,Internet Of Things,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",,Parallel and Distributed Computing,CPMK204,Menganalisis kebutuhan komputasi dari sebuah solusi IoT multi-platform dan arsitektur terdistribusi,,,,,,,,"•        Mahasiswa mampu menerapkan Microcontroller Unit (Arduino dan NodeMCU)
•        Mahasiswa dapat menerapkan kendali jarak jauh (remote control) hardware dengan Socket TCP/IP
•        Mahasiswa mampu menerapkan memahami konsep edge computing (Optional)
•        Mahasiswa mampu dan memahami dan menerapkan cloud computing IoT (Public, Server Ubuntu & Raspberry Pi 3)
•        Mahasiswa mampu menjelaskan konsep protocol transport MQTT dan menerapkan

","•        Arsitektur IoT
•        Microcontroller Unit (Arduino & NodeMCU), Interfacing komunikasi hardware (I2C, SPI, UART)
•        Edge Computing
•        IoT Server Cloud
•        Mengimplementasikan IoT

","- Menjelaskan Arsitektur IoT yang terdiri dari device constraint, edge computing dan cloud computing IoT dan bagaimana cara mengimplementasikannya.  
- Membuat program kontrol hardware microcontroller yang dikendalikan secara lokal maupun secara jarak jauh (remote control)

"
,,,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",,Operating System,CPMK206,"Menganalisis karakteristik dan kebutuhan sumber daya dari aplikasi multi-platform, lalu merancang strategi manajemen sumber daya sistem (seperti memori, proses, I/O, dan jaringan) yang optimal dengan mempertimbangkan arsitektur dan mekanisme sistem operasi",,,,,,,,,,
,,,CPL05,BK07,Parallel and Distributed Computing,CPMK503,"Mampu merancang dan mengonfigurasi solusi komputasi paralel dan terdistribusi yang mendukung kebutuhan pemrosesan IoT, Big Data, dan layanan berbasis cloud.",,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Yoppy Yunhasnawa, S.ST., M.Sc.",MK050,Big Data,CPL09       Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,BK07,Parallel and Distributed Computing,CPMK904,Mahasiswa mampu menguraikan prinsip kerja sistem paralel–terdistribusi yang dimanfaatkan untuk pemrosesan data skala besar.,SCPMK-904-05001,Mahasiswa mampu menjelaskan prinsip kerja sistem paralel dan terdistribusi yang mendasari pemrosesan data skala besar.,Contextual Instruction (CI),"Ceramah, diskusi konsep sistem terdistribusi","Quiz, Tes Tulis (UTS)",Ketepatan menjelaskan prinsip kerja sistem paralel-terdistribusi,Konsep dasar sistem paralel dan terdistribusi untuk pemrosesan data skala besar,,,
,,,,,,,,SCPMK-904-05002,Mahasiswa mampu menganalisis arsitektur sistem terdistribusi yang digunakan pada platform Big Data.,Contextual Instruction (CI),"Ceramah, studi kasus arsitektur terdistribusi","Quiz, Tugas",Ketepatan analisis arsitektur sistem terdistribusi pada platform Big Data,"Arsitektur sistem terdistribusi (cluster, node, data partitioning) pada platform Big Data",,,
